Date,Close
1/2/2018,147.33
1/3/2018,151.38
1/4/2018,154.45
1/5/2018,155.2
1/8/2018,156.14
1/9/2018,156.48
1/10/2018,156.82
1/11/2018,156.84
1/12/2018,155.83
1/16/2018,156.5
1/17/2018,161.09
1/18/2018,161.54
1/19/2018,155.09
1/22/2018,155.31
1/23/2018,158.8
1/24/2018,157.96
1/25/2018,158.05
1/26/2018,159.84
1/29/2018,159.32
1/30/2018,156.28
1/31/2018,156.36
2/1/2018,155.12
2/2/2018,151.9
2/5/2018,145.69
2/6/2018,148.38
2/7/2018,146.95
2/8/2018,140.97
2/9/2018,142.81
2/12/2018,144.61
2/13/2018,143.99
2/14/2018,147.82
2/15/2018,149.02
2/16/2018,149.18
2/20/2018,148.2
2/21/2018,147.06
2/22/2018,146.31
2/23/2018,148.55
2/26/2018,151.47
2/27/2018,149.53
2/28/2018,148.84
3/1/2018,146.91
3/2/2018,147.56
3/5/2018,149.91
3/6/2018,148.74
3/7/2018,151.22
3/8/2018,149.21
3/9/2018,152.17
3/12/2018,153.07
3/13/2018,152.18
3/14/2018,151.03
3/15/2018,152.45
3/16/2018,153.07
3/19/2018,150.3
3/20/2018,149.2
3/21/2018,149.66
3/22/2018,145.27
3/23/2018,142.21
3/26/2018,146.49
3/27/2018,145.1
3/28/2018,145.68
3/29/2018,146.55
4/2/2018,143.34
4/3/2018,143.13
4/4/2018,147.21
4/5/2018,147.12
4/6/2018,143.82
4/9/2018,145.84
4/10/2018,148.42
4/11/2018,148.39
4/12/2018,150.98
4/13/2018,149.68
4/16/2018,150.81
4/17/2018,153.7
4/18/2018,142.12
4/19/2018,141.08
4/20/2018,138.4
4/23/2018,139.32
4/24/2018,139.03
4/25/2018,139.4
4/26/2018,140.14
4/27/2018,139.91
4/30/2018,138.46
5/1/2018,138.5
5/2/2018,136.06
5/3/2018,135.62
5/4/2018,137.46
5/7/2018,136.8
5/8/2018,136.59
5/9/2018,136.22
5/10/2018,137.77
5/11/2018,137.68
5/14/2018,137.83
5/15/2018,137.3
5/16/2018,138.15
5/17/2018,138.02
5/18/2018,138.02
5/21/2018,138.97
5/22/2018,138.58
5/23/2018,138.18
5/24/2018,137.61
5/25/2018,137.2
5/29/2018,134.89
5/30/2018,136.23
5/31/2018,134.97
6/1/2018,135.59
6/4/2018,136.63
6/5/2018,137.26
6/6/2018,138.22
6/7/2018,138.84
6/8/2018,139.59
6/11/2018,140.01
6/12/2018,140.28
6/13/2018,139.79
6/14/2018,138.69
6/15/2018,138.87
6/18/2018,138
6/19/2018,137.45
6/20/2018,136.24
6/21/2018,134.92
6/22/2018,134.95
6/25/2018,132.57
6/26/2018,132.84
6/27/2018,131.32
6/28/2018,133.76
6/29/2018,133.44
7/2/2018,133.59
7/3/2018,133.31
7/5/2018,135.09
7/6/2018,136.09
7/9/2018,137.92
7/10/2018,138.22
7/11/2018,138.44
7/12/2018,139.88
7/13/2018,139.36
7/16/2018,138.94
7/17/2018,137.06
7/18/2018,138.04
7/19/2018,142.55
7/20/2018,139.79
